"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 07 03:11:05 UTC 2024","Thu Mar 07 03:11:06 UTC 2024","1421","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Thu Mar 07 02:15:58 UTC 2024","Thu Mar 07 02:16:02 UTC 2024","3445","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Thu Mar 07 02:38:10 UTC 2024","Thu Mar 07 02:38:20 UTC 2024","10253","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Thu Mar 07 02:25:25 UTC 2024","Thu Mar 07 02:25:33 UTC 2024","7229","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Thu Mar 07 02:32:04 UTC 2024","Thu Mar 07 02:32:59 UTC 2024","55242","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Thu Mar 07 02:35:45 UTC 2024","Thu Mar 07 02:35:47 UTC 2024","2018","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Thu Mar 07 02:17:01 UTC 2024","Thu Mar 07 02:17:07 UTC 2024","5828","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Thu Mar 07 02:31:54 UTC 2024","Thu Mar 07 02:31:57 UTC 2024","3481","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Thu Mar 07 02:14:43 UTC 2024","Thu Mar 07 02:14:59 UTC 2024","16135","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Thu Mar 07 04:01:34 UTC 2024","Thu Mar 07 04:01:44 UTC 2024","9606","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
